iline it ipx ipy ipz
50 36 -5.381290746342415e-08 2.71174393209064 0.2383905666538511
50 87 2.496250136996281e-05 2.980719739293399 -0.6548084963289955
50 134 -4.36965930237232e-05 4.113909800601626 -0.4139727414314905
50 178 -1.17937037878435e-05 3.521404380372273 0.8182713534617144
50 228 -2.515798883351295e-05 2.710897884080948 0.2359731081978932
50 279 3.906652863427951e-07 2.983052587962362 -0.6569191804432853
50 326 -5.502572133053718e-06 4.116753371470306 -0.4090600765055564
50 370 -2.01397361919986e-05 3.51647970978568 0.8189373397796623
50 419 -1.422818597895947e-05 2.709641940427957 0.2320345177384121
50 471 -1.600732398032712e-05 2.98673210142457 -0.6600927350074457
50 517 -1.684318205863455e-05 4.120848182565553 -0.4017033217855581
50 562 -1.85145573286527e-05 3.509490915199985 0.8197567910099204
50 611 -3.076009934055435e-05 2.707993006064034 0.2265514675933561
50 663 -1.198778937316902e-05 2.991788993941277 -0.6643119469214696
50 709 -4.459774682663564e-05 4.12613210237571 -0.3918424653775064
50 754 -1.329805644281756e-05 3.500437430692909 0.8206698300740362
50 803 -9.815967198090192e-05 2.705978659979835 0.2195056499249836
50 855 -3.398899152085022e-05 2.998271980310126 -0.6695584658189756
50 901 -3.275501804078651e-05 4.13251810066422 -0.3794048780921063
50 946 -2.37420150987766e-05 3.48932011093112 0.8215991530146578
50 995 -0.0001466215182068797 2.703638613689685 0.2108919181838407
50 1046 -3.959692448884944e-05 3.00623063404627 -0.6757977541933955
50 1093 -3.752860947692227e-05 4.13990305146311 -0.3642838058971017
50 1137 -1.164004938680741e-05 3.476157016006845 0.8224497701458738
50 1187 -0.0001605105893924819 2.701019750675193 0.2006956328224822
50 1238 4.904355300761054e-06 3.015721172958417 -0.6829828885633139
50 1285 -4.728670208753449e-05 4.148145802000204 -0.3463773637479155
50 1329 -5.715278546480906e-06 3.460969337433074 0.8231090056382815
50 1379 -0.0002120708117017145 2.698177166476563 0.1888929749731078
50 1430 -9.306659570551545e-06 3.02681862161708 -0.6910618613979918
50 1476 -1.513783661266643e-05 4.157063235948232 -0.3255999179585883
50 1521 -3.79992024849285e-05 3.443797551273763 0.8234484406780922
50 1571 -0.0001989768993200247 2.695182731988093 0.175498331465768
50 1622 1.001318587934286e-05 3.039573336546944 -0.6999477273201797
50 1668 -4.545780407338995e-05 4.16645188341513 -0.3018407772489265
50 1713 -9.999896747547865e-06 3.424710136566476 0.823329662466856
50 1763 -6.520376059904187e-05 2.692109891834814 0.1605117147257556
50 1814 2.929336465173904e-06 3.054076002201559 -0.7095661102681518
50 1860 -2.408204508275169e-05 4.176072075457514 -0.2749990737625999
50 1904 -2.905005271380823e-05 3.403723128294352 0.8226030859135518
50 1954 0.000306996244753277 2.689036943054576 0.1439106297200564
50 2005 -1.13709947902052e-07 3.070441919191508 -0.7198365853985021
50 2051 -4.483333374283305e-05 4.185666149809687 -0.2449144834071529
50 2096 -1.422764915481878e-05 3.380875265873479 0.8211057515859501
50 2146 0.0007960361817642703 2.686048504043789 0.1256508346948356
50 2197 -9.576809645306383e-07 3.088793124025953 -0.7306555636826212
50 2243 -7.005974112317404e-05 4.194911927223451 -0.2114921926230003
50 2288 -2.297202337708804e-05 3.356221415880937 0.8186613495800894
50 2338 0.0009673763382715972 2.683234378225928 0.1056354415606514
50 2389 -1.356838198729449e-05 3.10925039901712 -0.7418905018276917
50 2435 -9.110708269699508e-06 4.203442093373418 -0.1746551449700926
50 2479 -7.565091453498596e-06 3.329864218340492 0.8150876738378379
50 2530 0.000283965803868913 2.680702851435471 0.08376242305016786
50 2580 -1.557263948082088e-05 3.131930726117066 -0.753380123221613
50 2626 -4.929326159619496e-05 4.210851430017659 -0.134319852300401
50 2671 -2.100321257803017e-05 3.301895654265727 0.8101978091874078
50 2721 -0.001781040224787755 2.678582186872847 0.05991841820975503
