iline it ipx ipy ipz
151 8 -0.003641307586804032 2.043721437454224 -0.4488515555858612
151 17 -0.005965534131973982 1.485799789428711 -0.5734289884567261
151 27 5.793625314254314e-05 1.343303918838501 0.03154823556542397
151 42 -0.0005405654665082693 1.389650583267212 0.6098492741584778
151 65 0.0006317557999864221 1.481895327568054 0.7658515572547913
151 83 0.002530244644731283 1.860139131546021 0.6301547884941101
151 108 -0.00293892971239984 1.780216574668884 -0.6529774069786072
151 114 -0.002125386847183108 1.429029703140259 -0.5283473134040833
151 125 0.0006766656297259033 1.335504293441772 0.1413270235061646
151 140 -0.0006247857818379998 1.379508256912231 0.6476753950119019
151 158 0.0005978455883450806 1.45282769203186 0.7880551218986511
151 175 0.001041049021296203 1.724897980690002 0.715787410736084
151 202 -0.007663134951144457 1.94647753238678 -0.5690531730651855
151 209 -0.0575486421585083 1.459298610687256 -0.6150129437446594
151 217 0.001465053530409932 1.335583567619324 -0.06225655600428581
151 232 0.002107215346768498 1.357148170471191 0.5724988579750061
151 246 -0.0004932607407681644 1.395665884017944 0.7782261967658997
151 260 0.001876841299235821 1.509503602981567 0.8023895025253296
151 279 0.00193107349332422 2.00463604927063 0.5200257301330566
151 302 -0.01868083328008652 1.678970813751221 -0.6549911499023438
151 308 -0.008741546422243118 1.396831512451172 -0.4058430790901184
151 321 0.001585609279572964 1.352800607681274 0.336929589509964
151 336 -0.0006765422294847667 1.418357610702515 0.7030290961265564
151 360 0.002846416085958481 1.567066311836243 0.7636312246322632
151 384 -5.959864211035892e-05 2.233241319656372 0.07206147909164429
151 399 -0.0276385024189949 1.577664375305176 -0.6695266962051392
151 405 0.001819783006794751 1.370097041130066 -0.3264642059803009
151 419 0.001762746251188219 1.349417448043823 0.4129481315612793
151 433 0.0009965968783944845 1.399210929870605 0.7286779284477234
151 453 -0.0003558637690730393 1.515358567237854 0.7910715341567993
151 472 0.001774934818968177 2.040831804275513 0.4837058484554291
151 494 -0.04058347642421722 1.672073721885681 -0.6806648969650269
151 499 0.008438454940915108 1.395852088928223 -0.4586162567138672
151 512 -0.0006135432631708682 1.335498213768005 0.2616096436977386
151 526 -0.0003249944711569697 1.374560832977295 0.6855635643005371
151 540 -0.001093460596166551 1.427631139755249 0.808529257774353
151 555 0.0009908772772178054 1.623373508453369 0.76270991563797
151 581 -0.001695374492555857 2.157901525497437 -0.2939205169677734
151 592 -0.04807030782103539 1.518535017967224 -0.645325243473053
151 599 -0.001163662294857204 1.350019931793213 -0.2367486506700516
151 613 0.0009129673708230257 1.345807433128357 0.4792674481868744
151 626 0.003277403302490711 1.379462718963623 0.7515426278114319
151 638 -0.003914526663720608 1.443279385566711 0.8202429413795471
151 653 0.003057396505028009 1.686143636703491 0.7490822672843933
151 680 -0.0008579011773690581 2.008690118789673 -0.4853860437870026
151 689 -0.02637671865522861 1.474895238876343 -0.5920602083206177
151 698 0.001310395542532206 1.338285803794861 -0.01448799856007099
151 713 0.001072555431164801 1.372243046760559 0.5925546288490295
151 730 0.000258013402344659 1.439963817596436 0.7735428810119629
151 749 0.0002545175957493484 1.674982190132141 0.7571362257003784
151 776 -0.003294882364571095 2.025189161300659 -0.4746164679527283
151 785 -0.05948222428560257 1.472676634788513 -0.6078039407730103
151 793 -0.001251804991625249 1.3350750207901 -0.1093356236815453
151 807 0.001878216629847884 1.34654700756073 0.5496072769165039
151 820 0.002223840914666653 1.368120551109314 0.7744446992874146
151 829 0.008271721191704273 1.433972001075745 0.8305440545082092
151 843 0.002980686957016587 1.638713955879211 0.7706241607666016
151 870 -0.001331668696366251 2.129098176956177 -0.3786690831184387
151 880 -0.1087343096733093 1.516594529151917 -0.6911174058914185
151 884 0.01125616487115622 1.356852412223816 -0.3815028071403503
151 897 0.001215751166455448 1.321042537689209 0.3404799699783325
151 911 -0.002254509599879384 1.317384243011475 0.7050995826721191
151 933 1.777032957761548e-05 1.261523485183716 0.8204816579818726
